,length_all,length_non,GC_count,GC_content_all,GC_content_non,Methionine_count,Methionine_percentage,Proline_count,Proline_percentage,Glycine_count,Glycine_percentage,Lysine_count,Lysine_percentage,Valine_count,Valine_percentage,Leucine_count,Leucine_percentage,Glutamine_count,Glutamine_percentage,Aspartic acid_count,Aspartic acid_percentage,Glutamic acid_count,Glutamic acid_percentage,Phenylalanine_count,Phenylalanine_percentage,Tyrosine_count,Tyrosine_percentage,Tryptophan_count,Tryptophan_percentage,Serine_count,Serine_percentage,Alanine_count,Alanine_percentage,Threonine_count,Threonine_percentage,Arginine_count,Arginine_percentage,Cysteine_count,Cysteine_percentage,Isoleucine_count,Isoleucine_percentage,Asparagine_count,Asparagine_percentage,Histidine_count,Histidine_percentage,Stop_count,Stop_percentage,Unknown_count,Unknown_percentage
16,1174776,1174739,673280,0.5731135127036984,0.5731315636920201,7831,0.01999785491021267,28330,0.07234570675601136,27139,0.06930427587897607,19220,0.049081697276757444,23405,0.059768841038632045,40641,0.10378404053198227,18717,0.04779719708267789,18084,0.04618071870722589,26879,0.06864031951623117,13494,0.03445933522646019,9146,0.023355941898710902,5111,0.01305184988457374,31975,0.08165386422603117,30562,0.07804551676234447,20015,0.05111187153976588,24447,0.062429773846248135,8771,0.0223983125293673,14467,0.03694406423011706,11979,0.03059051257431204,10572,0.02699748718053484,782,0.0019969764448711925,25.0,6.384195795624017e-05
7,1344219,1344192,697467,0.5188641136600509,0.5188745357806027,9407,0.020994346903294776,28749,0.06416142012573844,28917,0.06453635903078293,25083,0.05597971759066045,26191,0.058452528940596736,44312,0.09889459976387777,20657,0.04610186286609548,20494,0.04573808285703446,31270,0.06978773548060249,17072,0.038100934445949655,12118,0.02704470030553057,5715,0.012754618109102759,37949,0.08469378873531769,30670,0.06844866796258646,26069,0.05818025187860014,24954,0.055691818074287004,10155,0.022663717742421437,19752,0.04408210269308796,15696,0.03503000627129954,11948,0.026665297842092695,877,0.001957270355500108,18.0,4.017202554048113e-05
4,1144905,1144886,545749,0.4766762307789729,0.47668414147784144,8187,0.021452434918180985,21426,0.056142649390124075,23472,0.06150379289111323,24154,0.0632908407247763,23113,0.06056310348893576,36953,0.09682812111048515,17444,0.045708595909704296,19061,0.04994562867661509,26624,0.06976299343613662,14199,0.03720570702372686,10515,0.027552504356256634,4470,0.01171276219424319,32819,0.08599578130936628,25095,0.06575654748647268,20725,0.05430581576637363,19567,0.051271502875784455,8744,0.022911944659163862,18393,0.04819526510933222,15815,0.04144011948589621,10139,0.026567269773474653,706,0.0018499351474576494,14.0,3.6684266380180016e-05
5,1380951,1380936,695280,0.5034791241687794,0.5034845930586211,9678,0.021024641714296886,27710,0.060197646404542955,28970,0.06293489052109742,26596,0.05777757501895433,28233,0.06133381995450961,45300,0.09841044323802944,20820,0.045229700402114194,23595,0.05125815470643057,32480,0.07056007056007056,16487,0.035816622023518575,12440,0.027024854611061508,4983,0.010825148756183239,40124,0.08716601820050096,31856,0.06920448299758644,24828,0.053936743591916005,25136,0.05460584770929598,9721,0.02111805560081422,20828,0.04524707972983835,18189,0.03951407399683262,11491,0.024963231859783584,842,0.0018291742429673464,10.0,2.172415965519414e-05
12,1482369,1482328,761349,0.513602888349662,0.5136170941923784,10954,0.022168569364308076,29910,0.06053148709936595,32849,0.06647939885413146,28708,0.05809889440483442,29465,0.059630901617613426,49800,0.10078462245230439,23640,0.04784233885085293,22751,0.04604319167494733,34497,0.06981460081801495,18345,0.03712638351179767,13208,0.026730186613454544,6171,0.01248879327616808,40917,0.08280731720644455,33674,0.06814902362367264,26506,0.05364251411085904,27139,0.054923571661307,10943,0.022146307700714195,22990,0.04652687691121441,18474,0.03738745211212593,12112,0.02451211540446407,1041,0.0021067628910210615,29.0,5.868984038387203e-05
17,1605642,1605576,898147,0.5593693986579823,0.5593923925120954,11453,0.021398917068686543,35852,0.066986289596311,36090,0.06743097153661899,28571,0.05338238536361156,31124,0.058152439958596,54508,0.10184337479961286,26605,0.049709088327285905,24481,0.04574058227176419,37966,0.07093611153669373,18742,0.03501776859349718,13619,0.025445896407792025,6783,0.012673435298777685,43939,0.08209613350921313,39517,0.07383401779475125,27544,0.051463526738837174,32350,0.06044311247463632,12937,0.024171639755312828,21215,0.039638350267369685,17327,0.03237396630132994,13444,0.02511892439285968,1101,0.0020571210768029237,46.0,8.59469296393592e-05
11,1706691,1706642,915845,0.5366202786561832,0.5366356857501456,13031,0.022905728101923546,36164,0.06356862490046529,36333,0.06386569097745286,27802,0.04887000634561265,35479,0.06236454050557482,60238,0.10588559967797334,25379,0.044610887383832225,25409,0.04466362100696611,36031,0.06333483917123837,22771,0.04002657774605948,15795,0.027764252579992512,7092,0.012466228508851339,47570,0.08361794841596985,40317,0.0708687161296333,32468,0.05707184253037017,31348,0.05510312060003832,14294,0.02512581363586027,25873,0.04547923437810359,19529,0.03432783087272388,14682,0.02580783516172523,1262,0.002218327746498927,30.0,5.2733623133888915e-05
6,1463613,1463574,744587,0.5087321580226467,0.5087457142583839,10625,0.021778297951712645,30339,0.06218652061713035,32591,0.06680249492181335,28725,0.058878269050630185,29026,0.059495235420838705,48065,0.0985198956281476,23169,0.047490012728774615,22735,0.04660043331126466,34579,0.0708773425762138,17544,0.03596032557786792,12899,0.02643936614391919,6099,0.012501255454823099,40694,0.08341139358559947,33165,0.06797903544174587,26652,0.05462919501261604,27039,0.055422437488598424,10862,0.022264082103670847,21587,0.044247352271399615,17777,0.03643791084118548,12650,0.025928985326039055,1024,0.002098915492005059,25.0,5.1243054004029754e-05
19,1849407,1849325,1081126,0.5845798139619889,0.5846057345247591,11634,0.01887199518548378,45149,0.07323807036525762,46359,0.07520086168160929,31510,0.0511136813043316,34351,0.05572218554379863,59851,0.09708679592972234,28373,0.046025023156071106,25482,0.04133541183741599,42650,0.0691843385474371,21447,0.03479007054693748,15365,0.024924205434498733,7717,0.012518066601889146,49702,0.0806236809961247,47279,0.07669323193867007,33724,0.05470510277078004,39593,0.06422545172587754,17469,0.02833719132673338,20521,0.03328796744037413,17325,0.028103602938671694,19559,0.03172746723679536,1356,0.002199623987580884,53.0,8.597350393937084e-05
3,1625325,1625271,820621,0.5048965591497085,0.5049133344531466,12070,0.022278621198837157,31511,0.058162521341885466,33803,0.06239305984956855,31714,0.05853721563379632,33082,0.06106224908864381,54724,0.10100872133265655,26116,0.048204512943565134,25698,0.047432974943472844,38358,0.07080060910894743,20672,0.03815606109547321,14969,0.02762955101287435,6717,0.012398135757463891,43858,0.08095242489963546,36967,0.06823312260624798,28793,0.053145678556596375,29416,0.05429560241797794,12195,0.022509344284989154,25482,0.04703428545060219,20539,0.03791057173180749,14032,0.025900050759078953,1023,0.001888237737067971,36.0,6.644824881177611e-05
2,2057967,2057929,1020653,0.49595207308960737,0.4959612309268201,14798,0.021571774474517812,40837,0.059530109083381806,43914,0.06401560374874815,42649,0.06217155085577174,41612,0.06065986480832783,66930,0.09756716215566139,31671,0.04616837879324596,34102,0.049712167396270206,49098,0.07157257623664519,25146,0.03665656446386167,18469,0.026923172237455703,8400,0.01224509430909242,56877,0.08291240821645827,46206,0.06735676519594337,36381,0.053034378102272774,36910,0.053805527493881095,15050,0.021939127303790586,32010,0.046662555813577186,26268,0.03829215920371901,17476,0.025475627160202276,1157,0.0016866159661452298,28.0,4.0816981030308066e-05
1,3008613,3008566,1577198,0.5242276092006516,0.5242357987160661,21175,0.02111438061325933,62836,0.0626561142958566,68052,0.06785718203039075,55556,0.05539695534121537,59295,0.05912525140322135,100245,0.09995802052307824,49090,0.048949466082876064,47237,0.0471017708159873,71929,0.07172308302862482,36292,0.03618810395354936,27724,0.027644632260779303,12109,0.012074334585405301,85130,0.0848862914572263,68257,0.0680615951602948,51514,0.05136652670183902,57606,0.05744108664025582,24348,0.02427829700928634,42414,0.04229257800853749,34573,0.03447402507401251,25474,0.02540107351793002,1985,0.001979317379802587,30.0,2.991411657132373e-05
15,1015305,1015273,528236,0.5202732183925027,0.5202896166843795,7312,0.021605330417953227,20246,0.059822417894130335,21592,0.0637995479190982,19734,0.05830957200053186,19632,0.058008184732666536,34119,0.10081404110094996,17492,0.051684961661766664,16093,0.04755122844859427,26605,0.07861184570153797,11648,0.03441724407936531,8440,0.024938319027287367,4263,0.012596214930488868,27580,0.08149275340907412,23683,0.06997798691033728,17016,0.05027848774506183,19652,0.05806728027538523,7236,0.021380767355622204,14471,0.04275857993410847,12153,0.03590940653301225,8888,0.026262059184186032,560,0.0016546751961233324,20.0,5.9095542718690446e-05
8,970218,970190,505846,0.5213735469760404,0.5213885939867449,6928,0.021421989697160845,20596,0.06368465643803764,21538,0.06659740388242642,18217,0.05632857770109398,18791,0.058103436547250205,32137,0.0993704507646735,15606,0.048255134413090664,15255,0.04716981132075472,22928,0.07089540701162007,11570,0.035775464895518326,8529,0.02637242351718892,3840,0.011873620155470214,26901,0.08318027494851672,23117,0.07147981175364712,16588,0.0512915654007656,18735,0.0579302795866496,7660,0.023685398539297353,13641,0.04217918034915864,11616,0.035917700970297395,8541,0.026409528580174764,656,0.0020284101098928284,16.0,4.9473417314459226e-05
