,length_all,length_non,GC_count,GC_content_all,GC_content_non,Methionine_count,Methionine_percentage,Serine_count,Serine_percentage,Valine_count,Valine_percentage,Phenylalanine_count,Phenylalanine_percentage,Proline_count,Proline_percentage,Lysine_count,Lysine_percentage,Isoleucine_count,Isoleucine_percentage,Leucine_count,Leucine_percentage,Arginine_count,Arginine_percentage,Glutamic acid_count,Glutamic acid_percentage,Asparagine_count,Asparagine_percentage,Tyrosine_count,Tyrosine_percentage,Alanine_count,Alanine_percentage,Glycine_count,Glycine_percentage,Threonine_count,Threonine_percentage,Histidine_count,Histidine_percentage,Glutamine_count,Glutamine_percentage,Aspartic acid_count,Aspartic acid_percentage,Cysteine_count,Cysteine_percentage,Tryptophan_count,Tryptophan_percentage,Stop_count,Stop_percentage,Unknown_count,Unknown_percentage
13,930774,930774,480385,0.5161134711541148,0.5161134711541148,6683,2.15401375629315,24891,8.022677900328114,18882,6.085902700333271,11621,3.7455923779564104,18082,5.828052781878307,18695,6.025630281894424,14022,4.519464445719369,31495,10.151228977173837,17546,5.655293336513482,22225,7.16339304707695,11225,3.617956668321204,8198,2.642317039367236,21957,7.077013324394536,19999,6.445925648976014,15898,5.124122504496258,7714,2.4863178387019835,14477,4.66611658684063,15520,5.002288418026287,6745,2.1739971249734094,3771,1.2154400531170833,612,0.19725518761804692,,
14,1173993,1173993,643373,0.5480211551516917,0.5480211551516917,8343,2.1319547901904015,32205,8.229606139048528,23605,6.031978044162104,13998,3.5770230316535105,25126,6.420651571176318,22888,5.8487571902047115,16176,4.133585123591026,38599,9.86351707378153,23086,5.899353744017214,27738,7.088117220460428,13474,3.4431210407557797,10223,2.612366513258597,28859,7.374575487247369,25662,6.557620019880868,20032,5.118940232181964,10383,2.6532526173495072,18581,4.748154375707521,18719,4.783418640485931,8412,2.1495869225796067,4546,1.1616764324829876,676,0.17274378978409582,,
15,1800195,1800195,1045726,0.5808959584933855,0.5808959584933855,12109,2.017948055627307,48558,8.092123353303391,35972,5.994683909243165,21004,3.50028746885754,41455,6.9084182546890744,31320,5.219434561255864,22037,3.6724354861556665,61278,10.211893711514586,37972,6.327981135377001,42103,7.016406555956438,18235,3.038837459275245,14517,2.419237915892445,47067,7.843650271220618,42467,7.077066651112796,30007,5.000624932299001,15540,2.589719447059902,28691,4.781315357502937,27406,4.567171889711948,13460,2.2430903318807127,7668,1.2778615649971252,1199,0.1998116870672344,,
16,1039065,1038794,542819,0.5224110137479369,0.5225473000421643,7229,2.0871649030618875,27809,8.029045343650301,21030,6.07180494001819,12844,3.7083339348356454,21081,6.08652971662023,20896,6.033116311299101,15148,4.373547371916098,34711,10.021798443793218,19585,5.654602936293688,24551,7.088391967778724,12632,3.647125059548729,9382,2.7087814525559035,24775,7.153065496383768,22656,6.541265464624447,17899,5.167819145096794,8900,2.5696178776111216,15803,4.562659698863882,17072,4.92904678725585,7511,2.1685842560378803,4132,1.192995625875186,618,0.17842964588355878,91.0,0.026273620995799107
17,675144,675144,351948,0.5212932352209306,0.5212932352209306,4735,2.1039955920514735,18243,8.106270662258718,13348,5.931179126230848,8458,3.758309338452241,13815,6.138690412711955,12730,5.656571042622018,9899,4.398617183889659,22407,9.956542604244428,13110,5.825423909565959,15612,6.937186733496854,8126,3.6107852547012196,6134,2.725640752195087,16029,7.122480537485336,15248,6.775443460950553,11564,5.138459350894031,5923,2.631882976076215,10688,4.749209057623262,10619,4.718548931783442,5255,2.3350574099747607,2673,1.187746614055668,432,0.1919590487362696,,
19,1564467,1564467,906078,0.5791608260193408,0.5791608260193408,9391,1.8008050025983289,41122,7.8854971054039495,29952,5.743553555300304,18391,3.5266323930130836,37421,7.175798530745616,26343,5.051496771743987,18080,3.466995468744307,52002,9.971830661816453,33795,6.480481851007404,36763,7.049621372646403,15049,2.8857751553724045,12996,2.4920947517589056,39836,7.638895547173574,38866,7.45288970620665,26434,5.068946804247069,16271,3.1201041632709416,24764,4.748709944025665,22415,4.2982689951274144,13997,2.6840451092928137,6541,1.2542929956336566,1060,0.20326411487107113,,
20,1740867,1740367,992497,0.5701164994224143,0.5702802914557676,12015,2.070520033983067,46172,7.956725011158233,34696,5.979089729427923,20355,3.507734938970065,38925,6.70786452957061,30939,5.331653710478744,22694,3.910809958486203,59863,10.316066649548759,35722,6.15589818176805,41247,7.108009974340372,18640,3.212192545438566,14748,2.541492256444634,44262,7.6275786720065355,39586,6.821773288826774,29271,5.044210729481344,14666,2.527361366491524,28344,4.884462741840704,27101,4.670259129502714,12340,2.1265266100167333,7473,1.2878065929218028,1063,0.18318458561165213,167.0,0.028778763684991444
21,312087,312087,158059,0.5064581350713102,0.5064581350713102,2054,1.9744494323698198,8943,8.596641321170058,6321,6.07619029309135,3905,3.753760970498611,5959,5.728210402868431,6187,5.947380057483971,4626,4.446836939699507,10004,9.616549231464305,5733,5.510963289082852,7034,6.7615760989724025,4222,4.05848369204741,3071,2.952061444404926,6711,6.451085754933721,6920,6.651991271664633,5559,5.343702236876256,2855,2.744427034769151,4580,4.402618500610407,5108,4.910169279720078,2716,2.61081044708687,1336,1.2842572744138654,185,0.17783502677138105,,
X,1122831,1122590,583265,0.5194592952991145,0.5195708139213783,8453,2.2584876976143335,30811,8.232138229172511,22315,5.96216171445213,13798,3.6865743820753076,23761,6.34850658736711,22140,5.91540490064845,16365,4.372430045127005,35807,9.566978467819288,21155,5.652230834382022,26982,7.209099143147989,13772,3.6796276554530465,10286,2.748231924483738,26265,7.017529797449483,24899,6.652559467987613,19509,5.212449602834265,9464,2.5286084905030233,17044,4.553846482685284,18179,4.857097817926295,7833,2.092834985852724,4596,1.2279675213812231,762,0.20359252639088163,81.0,0.02164172524627482
Y,37404,37404,17612,0.47085873168645065,0.47085873168645065,281,2.25376965030478,1043,8.365415463586782,726,5.822906641000962,479,3.8418350978504976,735,5.895091434071222,699,5.6063522617901835,567,4.547641963426371,1222,9.801090792428617,666,5.34167468719923,877,7.034007058068656,541,4.339108116778954,368,2.9515559833172924,803,6.440487648379853,746,5.9833172922682065,625,5.012832852101379,368,2.9515559833172924,598,4.7962784728906,633,5.076997112608277,300,2.4061597690086622,169,1.355470003208213,22,0.17645171639396856,,
18,552600,552600,276848,0.5009916757148027,0.5009916757148027,3988,2.1650380021715527,14980,8.132464712269273,11223,6.092833876221499,7173,3.8941368078175893,11160,6.058631921824104,11342,6.15743756786102,8653,4.697611292073833,17832,9.680781758957654,10110,5.488599348534202,12732,6.912052117263843,7322,3.975027144408252,5056,2.744842562432139,12764,6.929424538545059,12077,6.556460369163952,9578,5.199782844733985,4607,2.501085776330076,8172,4.436482084690554,9135,4.9592833876221505,3928,2.1324647122692726,2035,1.1047774158523342,333,0.18078175895765472,,
